Program,Retained Report ID,Candidate Report ID,Candidate Report Number,Subawardee UEI,Subawardee Vendor Name,Prime PIID,Subaward Date,Subaward Amount $M
virginia,20692705,20692704,8c259598-fcb9-11ef-8e2a-e7034f2d18cd,CBB5ZBL4F2G3,ENVIRONMENTAL CONTAINMENT SYSTEMS LLC,N0002412C2115,2017-03-31,-0.001036
virginia,20750877,20750876,bd505c34-fcb9-11ef-8e2a-e7034f2d18cd,CBMZJ3Z5SC89,GOODRICH CORPORATION,N0002416C2111,2018-07-05,-0.000704
virginia,20750885,20750884,bd507124-fcb9-11ef-8e2a-e7034f2d18cd,CBMZJ3Z5SC89,GOODRICH CORPORATION,N0002416C2111,2018-10-15,0.044480
virginia,20751185,20751184,bd53fa92-fcb9-11ef-8e2a-e7034f2d18cd,CFXRGJSB9UB6,"SPD ELECTRICAL SYSTEMS, INC",N0002416C2111,2020-02-03,0.050389
virginia,20751185,20751183,bd53f75e-fcb9-11ef-8e2a-e7034f2d18cd,CFXRGJSB9UB6,"SPD ELECTRICAL SYSTEMS, INC",N0002416C2111,2020-02-03,0.050389
virginia,20751041,20751040,bd52703c-fcb9-11ef-8e2a-e7034f2d18cd,CKBGA756V5H9,MITCHELL MACHINE INCORPORATED,N0002416C2111,2018-06-18,0.058400
virginia,20751045,20751044,bd527bf4-fcb9-11ef-8e2a-e7034f2d18cd,CKBGA756V5H9,MITCHELL MACHINE INCORPORATED,N0002416C2111,2019-01-07,0.199000
virginia,20949711,20949710,70abdfd8-fcba-11ef-8e2a-e7034f2d18cd,CN4DJZSKM3Y3,"PENNSYLVANIA MACHINE WORKS, INC.",N0002417C2100,2018-11-19,0.098489
virginia,20945970,20945969,6e7e3d1e-fcba-11ef-8e2a-e7034f2d18cd,CP8AJC3EDE93,"Alp Industries, Inc.",N0002417C2100,2018-04-13,0.007991
virginia,20751192,20751191,bd540d02-fcb9-11ef-8e2a-e7034f2d18cd,CSB6FUPJ5TC1,"TDS AUTOMATION, INC.",N0002416C2111,2018-09-27,0.069738
virginia,20751024,20751023,bd524210-fcb9-11ef-8e2a-e7034f2d18cd,CXQ7A9JSV3K5,"MEASUREMENT SYSTEMS, INC.",N0002416C2111,2018-07-26,0.450213
virginia,20751019,20751018,bd52332e-fcb9-11ef-8e2a-e7034f2d18cd,CXQ7A9JSV3K5,"MEASUREMENT SYSTEMS, INC.",N0002416C2111,2018-07-26,-0.229896
virginia,20948888,20948887,70a30714-fcba-11ef-8e2a-e7034f2d18cd,D7HNEN3DAN36,LEHIGH HEAVY FORGE CORPORATION,N0002417C2100,2017-09-11,0.103998
virginia,20693797,20693796,90bf3e92-fcb9-11ef-8e2a-e7034f2d18cd,DDQCLD6FEJJ6,"TOG MANUFACTURING COMPANY, INC.",N0002412C2115,2018-10-09,0.013886
virginia,20948233,20948232,6feaeeea-fcba-11ef-8e2a-e7034f2d18cd,DJG7NEG7QRK5,"HUNT VALVE COMPANY, INC.",N0002417C2100,2018-11-26,0.076240
virginia,20693228,20693227,8f7810c2-fcb9-11ef-8e2a-e7034f2d18cd,DJMMEPKGGNB3,"MEASUREMENT SPECIALTIES, INC.",N0002412C2115,2018-04-06,0.089400
virginia,20948554,20948553,6fee7f92-fcba-11ef-8e2a-e7034f2d18cd,DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC",N0002417C2100,2018-05-14,0.002800
virginia,20948610,20948609,6fef11be-fcba-11ef-8e2a-e7034f2d18cd,DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC",N0002417C2100,2019-01-02,0.041304
virginia,20693267,20693266,8f78b658-fcb9-11ef-8e2a-e7034f2d18cd,E2P8AAJA2LK5,"MICRO PRECISION, LLC",N0002412C2115,2018-01-02,0.032418
virginia,20693274,20693273,8f78ce4a-fcb9-11ef-8e2a-e7034f2d18cd,E2P8AAJA2LK5,"MICRO PRECISION, LLC",N0002412C2115,2018-09-07,0.044593
virginia,20693250,20693249,8f787ef4-fcb9-11ef-8e2a-e7034f2d18cd,E2P8AAJA2LK5,"MICRO PRECISION, LLC",N0002412C2115,2018-09-25,0.003750
virginia,20692484,20692483,8c232d44-fcb9-11ef-8e2a-e7034f2d18cd,E9B7STE3MUX9,"C.I.L. Electroplating, Inc.",N0002412C2115,2018-07-20,0.001731
virginia,20692254,20692253,8c20cde2-fcb9-11ef-8e2a-e7034f2d18cd,E9DKKLZNCQS9,AISH TECHNOLOGIES LTD,N0002412C2115,2018-01-19,-0.005541
virginia,20693615,20693614,8f7c9110-fcb9-11ef-8e2a-e7034f2d18cd,EARSLY8TTEC9,REDBUILT LLC,N0002412C2115,2018-10-25,0.043757
virginia,20693470,20693469,8f7aeb62-fcb9-11ef-8e2a-e7034f2d18cd,ERZRH1FL8R66,"PLAINVILLE PLATING COMPANY, INC.",N0002412C2115,2017-10-11,0.000710
virginia,20750988,20750987,bd51af8a-fcb9-11ef-8e2a-e7034f2d18cd,F1UZPBD1VBH9,"LYME COMPUTER SYSTEMS, INC.",N0002416C2111,2018-10-24,0.016098
virginia,20750999,20750998,bd51fb20-fcb9-11ef-8e2a-e7034f2d18cd,F1UZPBD1VBH9,"LYME COMPUTER SYSTEMS, INC.",N0002416C2111,2018-11-13,0.063560
virginia,20692697,20692696,8c25804e-fcb9-11ef-8e2a-e7034f2d18cd,F42BKS7EHCL8,EMS DEVELOPMENT CORPORATION,N0002412C2115,2018-10-31,0.296869
virginia,20693876,20693875,90c010c4-fcb9-11ef-8e2a-e7034f2d18cd,FJAVFFKN2LE3,"WATTEREDGE, INC.",N0002412C2115,2018-06-13,0.000558
virginia,20692486,20692485,8c23346a-fcb9-11ef-8e2a-e7034f2d18cd,FJMAMQK89ZB8,"CAMERON TECHNOLOGIES US, INC.",N0002412C2115,2018-09-20,0.003654
virginia,20750853,20750852,bd501d00-fcb9-11ef-8e2a-e7034f2d18cd,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LTD., LIMITED PARTNERSHIP",N0002416C2111,2018-02-14,0.014688
virginia,20750874,20750873,bd505432-fcb9-11ef-8e2a-e7034f2d18cd,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LTD., LIMITED PARTNERSHIP",N0002416C2111,2018-03-14,0.493313
virginia,20750867,20750866,bd504244-fcb9-11ef-8e2a-e7034f2d18cd,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LTD., LIMITED PARTNERSHIP",N0002416C2111,2018-03-14,0.134028
virginia,20750862,20750861,bd503448-fcb9-11ef-8e2a-e7034f2d18cd,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LTD., LIMITED PARTNERSHIP",N0002416C2111,2018-10-18,0.101262
