Subawardee UEI,Subawardee Vendor Name,Subawardee DBA Name,Parent UEI,Parent Vendor Name,Subaward Report ID,Subaward Report Number,Subaward Number,Subaward Date,Submitted Date,Subaward Amount $,Subaward Description,Subawardee Street Address,Subawardee Street Address 2,Subawardee City,Subawardee Congressional District,Subawardee State Code,Subawardee State Name,Country Code,Country Name,Subawardee ZIP,Business Type Codes,Business Type Names,Top Pay Salaries,Top Pay Employee Names,Prime PIID,Prime Contract Key,Agency ID,Referenced IDV PIID,Referenced IDV Agency ID,Prime Award Type,Total Contract Value $,Base Award Date Signed,Prime Entity UEI,Prime Entity Name,Description of Requirement,Prime NAICS,Prime NAICS Description,Funding Agency Code,Funding Agency Name,Funding Office Code,Funding Office Name,Funding Department Code,Funding Department Name,Contracting Agency Code,Contracting Agency Name,Contracting Office Code,Contracting Office Name,Contracting Department Code,Contracting Department Name,HII Work-Item Code,Builder,SWBS Subsystem,SWBS,SWBS basis,Direct Hull Text,Direct Hull Count,Prime Requirement Hull Text,Prime Requirement Hull Count,Lifecycle Stage,Lifecycle Stage Basis,Date Source Confidence,Narrowing Result,Lifecycle Confidence
LGL1LNBH8KM5,"GRISWOLD INDUSTRIES, CO.",HUNTINGTON INGALLS INCORPORATED,LGL1LNBH8KM5,"GRISWOLD INDUSTRIES, CO.",20700603,9e70f0c6-fcb9-11ef-8e2a-e7034f2d18cd,969885-1,2017-08-03,2017-09-06,396241.07,03078-01 (DDG125),1701 PLACENTIA AVE,,costa mesa,46,CA,California,USA,United States,926274416,27; 2X; MF; XS,Self-Certified Small Disadvantaged Business; For-Profit Organization; Manufacturer of Goods; S Corporation,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-09-06,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"0001 - CONSTRUCT FY13 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 117
0101 - CONSTRUCT FY14 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 119
0201 - CONSTRUCT FY15 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 121
0301 - CONSTRUCT FY16 DDG 51 GUIDED MISSILE DESTROYER DDG 123
0401 - CONSTRUCT FY17 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 125",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,03078-01,HII-Ingalls,,,,DDG 125,1,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,5,Long-lead,Aug 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
SKKACASET588,DYNALEC CORPORATION,HUNTINGTON INGALLS INCORPORATED,SKKACASET588,DYNALEC CORPORATION,20700296,9e6d9f98-fcb9-11ef-8e2a-e7034f2d18cd,986743-1,2017-08-15,2017-09-06,28128.5,04052-01(DDG125),87 W MAIN ST,,sodus,25,NY,New York,USA,United States,145511137,2X; MF; XS,For-Profit Organization; Manufacturer of Goods; S Corporation,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-09-06,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"0001 - CONSTRUCT FY13 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 117
0101 - CONSTRUCT FY14 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 119
0201 - CONSTRUCT FY15 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 121
0301 - CONSTRUCT FY16 DDG 51 GUIDED MISSILE DESTROYER DDG 123
0401 - CONSTRUCT FY17 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 125",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,04052-01,HII-Ingalls,,,,DDG 125,1,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,5,Long-lead,Aug 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
KLDTZDR12ZB7,JUNIPER ELBOW CO. INC.,HUNTINGTON INGALLS INCORPORATED,KLDTZDR12ZB7,JUNIPER ELBOW CO. INC.,20700880,a0a8dc5a-fcb9-11ef-8e2a-e7034f2d18cd,986468-1,2017-08-21,2017-09-06,216205.0,01022-01  HATCHES (DDG-125),7215 METROPOLITAN AVE,,middle village,09,NY,New York,USA,United States,113792107,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-09-06,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"0001 - CONSTRUCT FY13 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 117
0101 - CONSTRUCT FY14 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 119
0201 - CONSTRUCT FY15 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 121
0301 - CONSTRUCT FY16 DDG 51 GUIDED MISSILE DESTROYER DDG 123
0401 - CONSTRUCT FY17 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 125",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,01022-01,HII-Ingalls,,,,DDG 125,1,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,5,Long-lead,Aug 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
KLDTZDR12ZB7,JUNIPER ELBOW CO. INC.,HUNTINGTON INGALLS INCORPORATED,KLDTZDR12ZB7,JUNIPER ELBOW CO. INC.,20700875,a0a8cc7e-fcb9-11ef-8e2a-e7034f2d18cd,986493-1,2017-08-21,2017-09-06,163035.0,01027-01  SCUTTLES (DDG-125),7215 METROPOLITAN AVE,,middle village,09,NY,New York,USA,United States,113792107,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-09-06,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"0001 - CONSTRUCT FY13 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 117
0101 - CONSTRUCT FY14 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 119
0201 - CONSTRUCT FY15 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 121
0301 - CONSTRUCT FY16 DDG 51 GUIDED MISSILE DESTROYER DDG 123
0401 - CONSTRUCT FY17 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 125",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,01027-01,HII-Ingalls,,,,DDG 125,1,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,5,Long-lead,Aug 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC",HUNTINGTON INGALLS INCORPORATED,,,20701682,a0b1f9ac-fcb9-11ef-8e2a-e7034f2d18cd,986488-1,2017-08-21,2017-09-06,266929.45,01022-01  HATCHES (DDG-125),2591 FAIVRE ST BLDG 1,,chula vista,51,CA,California,USA,United States,919117146,2X; LJ; MF,For-Profit Organization; Limited Liability Company; Manufacturer of Goods,306386; 320810; 320118; 139740; 315540,Lance  Lane; Leo R Mathieu; Jalil Y Parast; Leslie E Frank; Patrick K Shoup,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-09-06,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"0001 - CONSTRUCT FY13 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 117
0101 - CONSTRUCT FY14 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 119
0201 - CONSTRUCT FY15 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 121
0301 - CONSTRUCT FY16 DDG 51 GUIDED MISSILE DESTROYER DDG 123
0401 - CONSTRUCT FY17 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 125",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,01022-01,HII-Ingalls,,,,DDG 125,1,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,5,Long-lead,Aug 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC",HUNTINGTON INGALLS INCORPORATED,,,20701676,a0b1e9e4-fcb9-11ef-8e2a-e7034f2d18cd,986526-1,2017-08-28,2017-09-06,100427.98,01027-01  SCUTTLES (DDG-125),2591 FAIVRE ST BLDG 1,,chula vista,51,CA,California,USA,United States,919117146,2X; LJ; MF,For-Profit Organization; Limited Liability Company; Manufacturer of Goods,320810; 320118; 315540; 139740; 306386,Leo R Mathieu; Jalil Y Parast; Patrick K Shoup; Leslie E Frank; Lance  Lane,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-09-06,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"0001 - CONSTRUCT FY13 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 117
0101 - CONSTRUCT FY14 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 119
0201 - CONSTRUCT FY15 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 121
0301 - CONSTRUCT FY16 DDG 51 GUIDED MISSILE DESTROYER DDG 123
0401 - CONSTRUCT FY17 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 125",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,01027-01,HII-Ingalls,,,,DDG 125,1,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,5,Long-lead,Aug 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,HUNTINGTON INGALLS INCORPORATED,,,20700165,9e6c1510-fcb9-11ef-8e2a-e7034f2d18cd,988651-1,2017-09-06,2017-10-05,77197.0,07046-01 EDUCTOR DDG125,5100 BELFIELD AVE,,philadelphia,02,PA,Pennsylvania,USA,United States,191441733,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-10-02,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"PP-5188, CSE PURCHASE SPEC 324-12A; PP-5196, CSE PURCHASE SPEC 310-03A; PP-5200, CSE PURCHASE SPEC 314-10A (DDG 125 FLIGHT III PURCHASE ORDER CHANGES)",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,07046-01,HII-Ingalls,,,,DDG 125,1,DDG 125,1,Long-lead,Sep 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
WPP2ABN6UCF5,"L3 TECHNOLOGIES, INC.",HUNTINGTON INGALLS INCORPORATED,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",20700961,a0a9b5a8-fcb9-11ef-8e2a-e7034f2d18cd,993080-1,2017-09-13,2017-10-05,97396.0,08135-01  DDG125,90 NEMCO WAY,,ayer,05,MA,Massachusetts,USA,United States,014321541,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-10-02,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"PP-5188, CSE PURCHASE SPEC 324-12A; PP-5196, CSE PURCHASE SPEC 310-03A; PP-5200, CSE PURCHASE SPEC 314-10A (DDG 125 FLIGHT III PURCHASE ORDER CHANGES)",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,08135-01,HII-Ingalls,,,,DDG 125,1,DDG 125,1,Long-lead,Sep 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
HUK5MJK4MH39,"LESLIE CONTROLS, INC.",HUNTINGTON INGALLS INCORPORATED,U45EH8WMNF55,"Circor International, Inc.",20700985,a0a9f928-fcb9-11ef-8e2a-e7034f2d18cd,998045-1,2017-09-22,2017-10-05,280602.0,03202-01(DDG125),12501 TELECOM DR,,tampa,09,FL,Florida,USA,United States,336370906,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-10-02,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"PP-5188, CSE PURCHASE SPEC 324-12A; PP-5196, CSE PURCHASE SPEC 310-03A; PP-5200, CSE PURCHASE SPEC 314-10A (DDG 125 FLIGHT III PURCHASE ORDER CHANGES)",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,03202-01,HII-Ingalls,,,,DDG 125,1,DDG 125,1,Long-lead,Sep 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
WPP2ABN6UCF5,"L3 TECHNOLOGIES, INC.",HUNTINGTON INGALLS INCORPORATED,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",20700955,a0a9a59a-fcb9-11ef-8e2a-e7034f2d18cd,998782-1,2017-09-27,2017-10-05,28118.0,08032-01  DDG125,90 NEMCO WAY,,ayer,05,MA,Massachusetts,USA,United States,014321541,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-10-02,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"PP-5188, CSE PURCHASE SPEC 324-12A; PP-5196, CSE PURCHASE SPEC 310-03A; PP-5200, CSE PURCHASE SPEC 314-10A (DDG 125 FLIGHT III PURCHASE ORDER CHANGES)",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,08032-01,HII-Ingalls,,,,DDG 125,1,DDG 125,1,Long-lead,Sep 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
